license#,,gender,racing age,Road Cat
146803,,M,33,1
147019,,M,32,5
147147,,M,66,5
149095,,M,39,5
149873,,M,29,5
150252,,M,46,5
150305,,M,44,2
150815,,M,63,2
151929,,M,47,5
152079,,M,46,3
152176,,M,48,1
153028,,F,59,4
153414,,M,37,2
153504,,M,35,3
153697,,M,51,3
153790,,M,33,1
154778,,M,41,5
154806,,M,53,3
155056,,M,36,3
155064,,M,47,2
155123,,M,50,3
155168,,M,61,4
155187,,M,41,4
155807,,M,46,5
156048,,M,48,1
156335,,M,30,3
156336,,M,25,3
156735,,M,40,5
156830,,F,48,3
157044,,M,31,2
157188,,M,62,5
157258,,M,47,4
157356,,M,38,4
158063,,M,49,5
158064,,F,41,3
158073,,M,46,3
158083,,M,48,3
158107,,M,56,3
158127,,M,50,5
158134,,M,32,5
158158,,M,54,3
158232,,M,61,4
158372,,M,40,5
158386,,M,45,5
158451,,M,40,2
158585,,M,35,4
158667,,M,38,4
158973,,M,47,5
159419,,M,54,3
159535,,M,38,4
159603,,M,36,4
159606,,M,56,5
159719,,M,60,5
160213,,M,44,2
161627,,M,45,3
162421,,M,36,4
163046,,M,34,1
163105,,M,47,5
163232,,M,45,5
163446,,M,35,5
163906,,M,42,2
164135,,M,52,5
164227,,F,51,2
164382,,M,53,4
164431,,M,46,5
164976,,F,34,3
165291,,M,42,4
165715,,F,34,2
165751,,M,44,2
166192,,M,65,3
166249,,M,46,2
166444,,M,49,4
166697,,M,51,3
166766,,M,44,3
166824,,F,41,3
166974,,M,49,5
166989,,M,34,2
167402,,M,56,3
167636,,F,34,PR
167795,,M,36,5
167796,,M,34,2
167926,,M,51,5
168005,,M,59,3
168057,,M,42,3
168104,,M,34,5
168115,,M,44,2
168436,,M,52,3
168598,,M,42,4
168838,,M,31,4
169555,,M,48,3
169576,,M,57,2
169611,,F,38,3
169645,,M,38,3
169689,,M,50,5
169709,,M,33,5
169772,,M,30,5
169857,,M,43,3
169869,,M,49,4
169945,,M,44,2
170042,,M,39,5
170101,,M,38,3
170859,,M,29,1
171445,,M,51,3
171823,,M,49,4
171862,,M,56,4
171882,,M,42,1
172454,,F,33,1
172586,,M,50,2
172801,,M,40,3
174881,,M,49,3
175058,,M,51,4
175124,,M,29,5
175157,,M,43,2
175739,,M,45,3
175841,,M,57,4
176313,,M,53,5
176416,,F,38,4
176565,,M,52,5
177090,,M,51,5
177271,,M,47,4
177339,,M,49,4
177395,,M,44,4
177509,,M,35,3
177518,,M,49,2
177571,,M,47,4
177631,,M,29,3
178098,,M,60,2
178124,,M,25,5
178242,,M,49,5
178252,,M,38,5
178452,,M,50,5
178581,,M,43,4
178595,,M,34,3
178854,,M,43,2
178921,,M,49,3
179386,,M,45,1
179650,,F,55,3
179817,,M,40,2
179851,,M,37,3
179928,,F,42,2
180102,,M,60,3
180137,,M,54,3
180139,,M,61,3
180154,,M,31,5
180294,,M,38,3
180321,,M,35,5
180522,,F,44,1
180563,,M,45,3
180566,,M,45,2
180747,,M,35,1
181075,,M,26,5
181093,,M,40,3
181215,,F,55,2
181367,,F,24,1
181725,,M,27,1
181767,,M,30,3
182738,,M,35,2
182819,,M,40,3
182987,,M,38,5
183241,,M,51,4
183265,,M,47,3
183828,,F,36,1
183871,,M,43,3
